epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.868,1.84469,3.28141,2.81495,0.62406,0.29911,0.32756,0.20066,1.47888,2.68144,2.59636,0.000255228,0.000255228,0.000255228
2,255.231,1.51353,2.28037,2.53495,0.67579,0.44559,0.48857,0.30594,1.35435,2.03865,2.62711,0.000501433,0.000501433,0.000501433
3,368.989,1.4409,1.99628,2.51813,0.74711,0.48702,0.55652,0.35787,1.25272,1.8571,2.52154,0.000737486,0.000737486,0.000737486
4,482.7,1.3852,1.8317,2.46959,0.76201,0.51672,0.61393,0.41142,1.17891,1.75311,2.50976,0.000723321,0.000723321,0.000723321
5,598.063,1.34989,1.70986,2.46848,0.70539,0.58074,0.68575,0.4585,1.15375,1.64407,2.49548,0.000708095,0.000708095,0.000708095
6,710.642,1.29618,1.63568,2.40642,0.74052,0.66425,0.73021,0.50262,1.09389,1.42015,2.35413,0.000692869,0.000692869,0.000692869
7,824.287,1.26598,1.55499,2.40072,0.7472,0.68767,0.75014,0.52926,1.04944,1.3576,2.36395,0.000677643,0.000677643,0.000677643
8,936.016,1.22494,1.47702,2.35162,0.7786,0.70776,0.78101,0.55887,1.03141,1.31624,2.35287,0.000662417,0.000662417,0.000662417
9,1048.31,1.21937,1.46197,2.34689,0.7622,0.6887,0.77574,0.55857,1.01789,1.229,2.33683,0.00064719,0.00064719,0.00064719
10,1159.62,1.16852,1.38048,2.31302,0.8383,0.71841,0.80989,0.59418,1.00869,1.21324,2.31779,0.000631964,0.000631964,0.000631964
11,1271.6,1.15155,1.35452,2.30784,0.8145,0.71549,0.80662,0.58508,0.99707,1.17871,2.27286,0.000616738,0.000616738,0.000616738
12,1383.58,1.14004,1.32973,2.30116,0.84979,0.73943,0.83136,0.62282,0.95134,1.12735,2.26835,0.000601512,0.000601512,0.000601512
13,1495.55,1.12415,1.2957,2.28467,0.84748,0.75761,0.84233,0.63,0.95908,1.0702,2.25502,0.000586286,0.000586286,0.000586286
14,1609.02,1.11052,1.27416,2.27731,0.85145,0.7473,0.84549,0.63722,0.93329,1.09701,2.21612,0.000571059,0.000571059,0.000571059
15,1721.82,1.09802,1.25019,2.2313,0.84907,0.78649,0.86224,0.66075,0.9137,1.05009,2.20797,0.000555833,0.000555833,0.000555833
16,1834.24,1.08143,1.21585,2.24693,0.86085,0.75877,0.85352,0.65405,0.90787,1.03021,2.21399,0.000540607,0.000540607,0.000540607
17,1945.72,1.07022,1.19816,2.23474,0.84291,0.78806,0.8642,0.66017,0.90002,1.01368,2.19341,0.000525381,0.000525381,0.000525381
18,2057.54,1.05282,1.17863,2.2348,0.87058,0.78333,0.87036,0.67264,0.86679,0.95601,2.1843,0.000510155,0.000510155,0.000510155
19,2170.58,1.04264,1.13211,2.21705,0.86597,0.79882,0.88262,0.69189,0.86482,0.95238,2.16303,0.000494928,0.000494928,0.000494928
20,2282.94,1.02743,1.14211,2.20429,0.89701,0.80795,0.89137,0.69592,0.8457,0.90387,2.1567,0.000479702,0.000479702,0.000479702
